Column1,Column2
1,鎮守府海域：鎮守府正面海域
2,鎮守府海域：南西諸島沖
3,鎮守府海域：製油所地帯沿岸
4,鎮守府海域：南西諸島防衛線
5,鎮守府海域：鎮守府近海
6,鎮守府海域：鎮守府近海航路
7,南西諸島海域：カムラン半島
8,南西諸島海域：バシー島沖
9,南西諸島海域：東部オリョール海
10,南西諸島海域：沖ノ島海域
11,南西諸島海域：沖ノ島沖
12,北方海域：モーレイ海
13,北方海域：キス島沖
14,北方海域：アルフォンシーノ方面
15,北方海域：北方海域全域
16,北方海域：北方AL海域
17,西方海域：ジャム島攻略作戦
18,西方海域：カレー洋制圧戦
19,西方海域：リランカ島空襲
20,西方海域：カスガダマ沖海戦
21,西方海域：カレー洋リランカ島沖
22,南方海域：南方海域前面
23,南方海域：珊瑚諸島沖
24,南方海域：サブ島沖海域
25,南方海域：サーモン海域
26,南方海域：サーモン海域北方
27,中部海域：中部海域哨戒線
28,中部海域：MS諸島沖
29,中部海域：グアノ環礁沖海域
30,中部海域：中部北海域ピーコック島沖
31,中部海域：KW環礁沖海域
