Column1,Column2,Column3
1,1,10
2,1,12
3,1,13
4,1,14
5,1,15
6,1,16
7,1,17
8,1,18
9,1,20
10,1,23
11,1,25
12,2,7
13,2,9
14,2,10
15,2,12
16,2,13
17,2,14
18,2,15
19,2,16
20,2,17
21,2,19
22,2,22
23,2,28
24,3,1
25,3,3
26,3,4
27,3,5
28,3,7
29,3,8
30,3,10
31,3,12
32,3,17
33,3,18
34,3,24
35,3,25
36,4,1
37,4,2
38,4,3
39,4,4
40,4,7
41,4,8
42,4,9
43,4,10
44,4,17
45,4,18
46,5,1
47,5,2
48,5,3
49,5,4
50,5,5
51,5,7
52,5,8
53,5,9
54,5,10
55,5,11
56,5,12
57,5,13
58,5,14
59,5,15
60,5,18
61,5,19
62,5,20
63,6,1
64,6,2
65,6,3
66,6,4
67,6,5
68,6,7
69,6,8
70,6,9
71,6,10
72,6,12
73,6,13
74,6,14
75,6,15
76,6,18
77,6,20
78,7,1
79,7,2
80,7,3
81,7,4
82,7,5
83,7,7
84,7,8
85,7,9
86,7,10
87,7,12
88,7,13
89,7,14
90,7,15
91,7,17
92,7,22
93,7,23
94,7,25
95,8,1
96,8,2
97,8,3
98,8,4
99,8,5
100,8,7
101,8,8
102,8,9
103,8,10
104,8,12
105,8,13
106,8,14
107,8,17
108,8,18
109,8,19
110,8,20
111,9,1
112,9,2
113,9,3
114,9,4
115,9,9
116,9,10
117,9,12
118,9,13
119,9,15
120,9,17
121,9,19
122,9,25
123,10,1
124,10,2
125,10,3
126,10,4
127,10,5
128,10,7
129,10,8
130,10,9
131,10,10
132,10,12
133,10,13
134,10,14
135,10,15
136,10,17
137,10,19
138,10,20
139,11,1
140,11,2
141,11,3
142,11,4
143,11,7
144,11,9
145,11,10
146,11,16
147,11,18
148,11,20
149,11,22
150,12,1
151,12,2
152,12,3
153,12,4
154,12,7
155,12,8
156,12,9
157,12,10
158,12,18
159,12,20
160,12,22
161,13,1
162,13,3
163,13,4
164,13,5
165,13,7
166,13,8
167,13,9
168,13,22
169,14,1
170,14,2
171,14,3
172,14,4
173,14,5
174,14,7
175,14,8
176,14,9
177,14,17
178,14,22
179,15,1
180,15,2
181,15,3
182,15,4
183,15,5
184,15,7
185,15,8
186,15,22
187,16,1
188,16,2
189,16,3
190,16,4
191,16,5
192,16,7
193,16,8
194,16,22
195,17,1
196,17,2
197,17,3
198,17,4
199,17,5
200,17,7
201,17,8
202,17,22
203,18,1
204,18,2
205,18,3
206,18,4
207,18,5
208,18,7
209,18,8
210,18,22
211,18,25
212,19,1
213,19,2
214,19,3
215,19,5
216,20,1
217,20,2
218,20,3
219,20,5
220,20,11
221,20,12
222,20,16
223,20,24
224,21,1
225,21,2
226,21,3
227,21,5
228,21,16
229,21,24
230,22,1
231,22,2
232,22,3
233,22,5
234,22,10
235,22,16
236,22,27
237,23,1
238,23,2
239,23,3
240,23,4
241,23,5
242,23,7
243,23,8
244,23,9
245,23,16
246,23,17
247,23,18
248,23,19
249,23,22
250,24,1
251,24,2
252,24,3
253,24,4
254,24,5
